Respondent	Fit (RLH)	Level 1	Level 2	Level 3	Level 4	Level 5	Level 6	Level 7	Level 8	Level 9	Level 10	Level 11	Level 12	Level 13	Level 14	Level 15	Level 16	Level 17	Level 18	Level 19	Level 20	Level 21	Level 22	Level 23	NONE	0,47088844																								
4059261	0,447245205	0,089940047	0,505311923	-2,036277521	-4,455745647	-6,539248884	-0,82129644	2,960274302	-1,419813144	3,494156244	2,051339458	1,111685895	-1,249475409	0,512531061	0,842841714	0,726170326	0,404068079	-0,105356045	-1,604356471	0,184179955	1,34028196	3,233814628	0,249941082	0,525032888	-11,49590898	0,978265824	0,379637704	0,175652665	-1,662878911	-3,713401008	-5,254815847	-0,189977482	3,295643358	-0,456236846	3,743970161	0,961226904	1,40157123	-1,418705679	0,420729057	1,410688872	1,092634961	-0,055842131	0,214983871	-1,002846188	0,413931551	0,971539592	3,080486436	0,353422393	0,15060987	-4,312024534
4059293	0,484798546	1,636815018	3,706272596	4,165873764	-2,525426912	-3,242779808	-0,218918986	-3,239753306	-2,916269182	-2,528915242	0,473755091	-1,000444951	0,326736335	-1,477366608	0,947424967	-1,828608466	0,725637609	2,69216732	-1,095378502	2,446128145	-0,724513624	0,727075083	1,064640601	1,885849054	-9,673401787	0,971203768	1,483840603	3,715649276	4,300121957	-3,183586128	-3,066522633	-0,185399946	-2,166624049	-2,79733413	-2,923873079	0,714112123	0,622303354	0,222237674	-0,844993584	1,565672153	-1,770054648	0,599695667	2,137707908	-0,371840661	2,789201678	-0,8899459	1,192539559	0,871687289	1,780666471	-3,795260955
4061777	0,714339065	-1,634338602	-3,834355142	-3,126663678	-5,034435847	-6,715358527	-2,282046992	-3,582354798	-3,125639506	3,229472212	3,623469106	5,122743967	-1,974232479	3,158603971	2,738602473	3,565838116	0,466627465	1,25815839	-0,562581671	2,488633859	2,391040293	2,228098049	0,24703839	1,35368095	-7,087878556	0,978654934	-1,255886428	-3,742047263	-2,824094317	-4,982003793	-6,834233822	-2,350173583	-2,239225892	-3,204094635	3,590786462	4,19935486	5,161050488	-1,101786998	2,99376854	2,531122865	4,891102129	1,183390685	2,558811062	0,524631687	0,811669838	2,1194177	2,283232609	0,187717217	1,902191869	-6,404701281
4061809	0,282325732	-2,950271217	1,228647717	-1,885341214	1,439990541	0,852598008	0,734134542	-2,656954342	-2,616975684	-5,231634483	-0,078648365	2,078261147	0,717999181	-1,416701111	-0,498224311	-1,028028469	1,463175163	4,127433732	-0,234218074	1,625082299	-1,037869557	0,802526771	1,426070436	3,138947291	-8,117653266	0,960518468	-2,118704247	1,652663487	-1,600933594	1,847222192	1,20853296	1,035053122	-2,324161699	-2,667532748	-5,205262368	0,305252621	2,397053861	-0,117998263	-1,603977426	0,114720416	-1,584197694	1,648705982	4,67443898	0,686986627	0,676475951	0,339667641	1,104512958	0,238289319	2,978350634	-3,685158713
4061974	0,662930675	-3,347818736	-6,256793996	-2,086069002	-2,044282752	-3,938500769	-2,365084997	-3,843400622	-3,588770071	-1,831524815	2,87072217	5,978529453	-0,145842607	-0,303009183	2,484285517	0,072141819	1,04055927	0,572689554	1,000158717	2,294599871	2,269821328	4,878934565	4,29389106	1,994764227	3,13966257	0,901401258	-2,529565473	-4,334023268	-1,768256953	-2,971497425	-3,633852569	-1,180089668	-2,131699312	-2,390438272	-3,695395977	2,36481352	5,080114932	-0,283716893	-1,270599646	1,793794468	-4,338326886	0,906657597	-1,449770355	1,844999523	2,04200914	2,768171216	5,767428397	4,425608826	2,237782321	2,745852758
4061975	0,618277404	4,731033547	0,622804	5,797905317	-5,357385891	-5,445094921	-1,102402127	-4,653729996	-3,209482176	2,396643519	1,411809601	-1,067100617	-0,29280234	0,754441347	2,822398152	-1,165788777	-0,689188285	0,083727184	-0,224263831	3,263931451	0,238356184	1,094747194	0,981136305	-0,991694839	-7,335016215	0,958738041	5,218827973	1,65034698	6,261991243	-6,534623036	-5,58055368	-0,274911605	-2,815575526	-2,590931771	3,218113682	0,775998107	0,836270241	-0,337594774	1,298516284	3,098681234	-0,827887459	-0,453817242	-0,251041391	-0,010957178	2,575955308	-0,834433537	0,440791517	0,032873291	-1,510173485	-3,385865177
4061980	0,140596892	1,932191766	1,242852748	0,509839133	-1,043265489	-0,146558125	2,466232891	0,659491758	1,096716877	1,872729929	-0,765340317	-3,581477348	-1,183498943	0,075107694	0,528801553	-1,219813117	-0,191890113	1,014800275	-1,850528835	-0,047725662	0,68582737	-1,152638638	0,317457341	-1,219312747	-6,263304278	0,865796686	2,535626712	1,947373163	1,232900429	-1,137866128	0,816615951	2,885162103	1,431370382	1,644220354	2,450049424	-1,26413305	-1,510259798	-1,567777928	-0,164902841	0,877105558	-1,686603198	0,164785758	0,345198334	-1,525457504	-0,471427145	-0,42894368	-1,67520398	-1,033991761	-1,895067245	-1,968773908
4061985	0,529431646	7,502929772	3,519369113	0,573039964	0,186377975	-0,745403004	7,404243774	0,159943554	3,3453414	3,683587435	-2,349181466	-7,11800828	-1,432277064	-0,330140995	-0,059955461	-0,561513431	-1,967273378	-0,675688473	-3,463520574	-1,061385365	0,454287917	-2,96689513	-0,914944382	-3,182933903	-5,179021596	0,960452324	7,410596329	3,367725784	0,700354103	-0,990765335	-0,557254274	7,358348346	0,749178647	3,264565932	3,781519229	-2,892241921	-3,762681122	-0,852491938	0,153233997	0,860558441	-1,090712295	-1,536712015	-1,339045322	-3,026423054	-2,121663565	-0,906119556	-3,239302452	-1,387738636	-2,808868959	-1,134060363
4061991	0,614567227	1,5579918	-0,60650896	-2,427990585	7,148373121	2,738661844	6,531521452	-2,526320921	2,453424803	-1,335087004	-2,828282254	-2,591763429	-1,373078969	-0,466925859	0,897386177	0,232078458	-1,562772011	0,36908189	-3,579120705	0,085133704	0,416135726	-1,688074902	0,612139019	-2,056002398	2,81421035	0,864724525	1,168577158	-0,278359545	-1,958759866	6,385930905	2,598014921	5,888421171	-1,351641903	1,265023463	-2,690157535	-1,731411007	-0,894448304	-0,903029591	-1,016258824	-0,218266403	-3,886206143	-0,399376655	-0,704484458	-1,549490705	-0,661755634	0,676142049	0,033072457	-0,505182589	-0,914658837	1,648305876
4061995	0,59260892	-3,563036851	-3,667441148	-2,891912988	-3,296907559	-4,866580888	-1,206717424	3,81463003	-3,587733895	-2,828092591	1,960642152	4,487349274	0,322223455	-1,748331899	1,037229851	-0,859821574	1,568941187	1,527574635	1,486290122	0,505001258	1,952893481	4,451061103	1,733033135	3,669707133	-8,942325924	0,977196951	-3,628697927	-2,874570373	-2,822603068	-3,157631858	-4,85293764	-0,967282641	3,736922702	-3,239228459	-2,733817092	1,923505647	4,076514715	-1,078658653	-2,283671704	1,666714145	-1,31727053	1,340672505	1,789674145	1,875623718	2,452202484	2,6773372	4,861032301	2,329159573	3,503903289	-3,276892478
4062037	0,642239717	2,338451133	5,804573176	5,610766022	-1,426403448	-1,657144903	3,631190991	-1,966738076	-0,224448293	-1,665884336	-1,435940427	-4,352220601	0,141636645	-1,972009302	0,472707694	-2,230060192	0,105782164	1,857623913	-2,429589864	1,625443493	-0,973116066	-1,182046932	0,760196982	-0,832769772	-9,231959933	0,950957999	2,522967933	6,134195691	6,00429622	-1,676174529	-1,368028923	3,908195021	-2,055225218	0,045424395	-2,149145144	-1,886643157	-1,593826146	0,291878765	-1,2085718	1,589691905	-2,699813764	-0,080240221	1,108103963	-1,526599708	1,202495939	-1,994016716	-1,230117751	0,048949288	-1,079290453	-2,308505588
4062039	0,639267496	8,297441336	0,500221982	-0,177697655	-1,239936338	-1,642694371	4,347990249	-1,714212813	4,35691744	5,935024649	-1,331441866	-5,640208526	-1,938953734	1,181883304	1,316693545	0,653715887	-1,950761837	-2,13527434	-2,756506381	-0,336993261	1,25711176	-1,619635066	-1,449159038	-3,913524925	-3,389531385	0,943720361	8,573277053	1,058694049	0,027435969	-2,55148393	-1,558586298	4,866214987	0,521370103	4,729324213	6,386218248	-2,079318149	-2,829374816	-1,322143505	1,743928324	1,425608817	-0,67027938	-1,538961929	-2,952494347	-2,602728617	-1,800071781	-0,561823934	-2,648049887	-1,819454318	-3,772401834	-0,624899038
4062147	0,478025185	-2,437014077	0,728952931	0,120525729	-3,891376212	-3,052786706	-2,667640425	-2,380477311	-4,536081224	-3,371949469	1,54917527	2,653752838	-0,148044452	-0,213608655	1,462573188	-0,593267517	3,123865103	3,988008027	-0,686696951	2,510071251	1,023522522	3,134257292	1,312984543	2,371254305	-9,425686063	0,983545031	-2,703194131	0,985791952	0,271294657	-2,777432971	-3,136276082	-2,458560528	-2,016081164	-4,390678465	-4,360476375	1,905069936	3,149244726	-0,427761126	-0,796832805	1,566668242	-0,363945	3,395759018	4,483367675	0,395447728	2,655961272	2,066177882	3,70881066	1,271300974	2,600607725	-5,024263799
4062172	0,73757594	3,761276977	-1,223035342	-2,71727478	-2,049849323	-4,787580305	4,750685044	0,252322765	5,531642981	8,019046617	-0,539802956	-3,0383872	-2,281960202	1,126089078	1,651180379	1,621685199	-2,062410126	-2,271400144	-2,918616954	-0,443520134	2,120538987	-1,999727194	-0,061247242	-2,439656123	-2,560111256	0,958273017	4,178814152	-0,50006766	-1,838343899	-3,365070281	-3,740134228	4,918666291	1,871565941	5,762753975	8,364105973	-1,380291375	-2,002701473	-1,370929608	1,700023687	1,545734861	1,440906108	-1,622140262	-2,829513044	-2,627451079	-2,023139233	-0,062209145	-2,17169785	-0,759885739	-1,999456245	-1,489539868
4062173	0,719844245	-1,695006231	-1,320659107	-4,394096058	1,366747379	-2,15078713	3,547493022	7,165075695	0,488432812	-1,690437626	0,463182718	-0,067531643	-0,551436105	-2,721807285	-0,237864352	-0,746421771	-0,494142333	1,551892252	-2,160870105	-1,283372619	1,470143295	1,40488998	0,896558294	1,160016916	-6,832502901	0,970200573	-1,460858205	-0,68743798	-4,142902761	1,739681939	-1,513144702	3,883912414	6,681230652	1,24613239	-1,36363272	-0,531753686	-0,449644946	-1,872402509	-2,436102401	0,022641852	-1,151002835	-0,354871663	0,757653397	-1,742411294	-0,4107836	1,829954689	1,967267274	0,930290966	1,202197773	-2,144014043
4062530	0,781219055	8,986259624	2,410928798	1,497540936	1,996763593	4,724597819	6,929038978	-2,544729726	1,634256617	1,379760183	-2,754515058	-8,121432119	-0,809042073	-0,050355157	-0,349748905	-0,92485444	-1,213779912	-0,408755415	-2,736301947	-1,026528373	-0,303111545	-2,669141681	-0,992541113	-4,654309087	-3,499575634	0,934795541	9,376564255	2,712996337	1,298775182	1,800123058	5,01259222	7,313741181	-1,227407332	2,177150238	1,843117882	-3,332171296	-4,057759486	-1,373558056	0,218440353	0,131780412	-3,778790947	-0,596492387	-0,998825687	-2,241535731	-2,543414506	-0,948008947	-3,862401562	-3,036533419	-4,409931144	0,521549383
4062549	0,686317202	-4,585351075	-2,15663013	-3,51108552	0,082756931	2,339134098	-2,483689866	-4,937040391	-5,060729369	-5,477422629	0,322399316	5,991140339	0,817273608	1,299258312	0,538782659	1,157675441	3,692767011	4,451909407	-0,259825624	1,275288025	-0,450391811	3,340454461	0,814464375	2,798862432	-8,678351966	0,967212065	-3,104141435	-1,580341858	-2,430053785	0,132834532	2,475767828	-1,984787465	-5,067473832	-3,790119384	-4,436414192	0,97937425	5,400332157	-0,020516881	1,500115434	1,024781582	-0,392053299	3,253487915	5,080525813	1,170105353	0,533920612	0,424849416	2,579058453	-0,447486741	2,626628652	-3,928393126
4068078	0,530960027	-0,55130782	-2,433993318	-4,550825951	4,33808088	-1,471191336	2,930083844	-3,016429941	-1,014209745	0,464298085	-0,343545128	2,645050662	-1,168687125	1,45958316	0,828530308	2,761172144	-0,674970828	0,339101566	-1,945719188	0,570099622	0,185561138	1,105339395	-0,214541681	-0,241478744	-4,678902324	0,951468975	-0,885624206	-2,709402314	-4,275598587	4,504971225	-1,480552069	2,846706933	-2,689280909	-0,747277792	0,732361063	0,609175269	2,652653294	-0,826212659	1,669267519	0,137002277	2,555618338	0,101988877	0,911685725	-1,132703763	-0,943457177	0,875909279	1,932674281	-1,048930471	1,053396786	-3,844370919
4068123	0,622908168	0,870156805	3,44196351	-0,256999094	-0,02115177	-1,392994131	6,106341059	-0,78641028	5,633361477	0,227644374	-2,611273679	-4,072024081	-0,855896746	-0,432569047	2,316109726	-0,71304064	-0,935973628	0,887681953	-4,355635628	1,087074858	0,105175392	-3,00955288	-0,075031073	-1,156956479	-3,790300815	0,938888453	1,055760993	3,56197337	-0,205237962	-1,138723617	-1,12241602	6,225944168	-0,524643623	5,629073018	0,003298344	-2,620524304	-2,114635324	0,065466348	0,069981871	2,44505323	-0,435136449	-0,712808326	0,019149645	-3,174990459	-1,245176776	-1,311288368	-1,883073018	-0,14909055	-0,776113989	-1,661842204
4068137	0,643627503	2,99100151	-3,936242619	0,649329323	-4,24580733	-5,296796812	-2,762701767	-5,032875411	-4,813218139	0,997353706	2,585590671	3,154544593	-1,045339008	3,217356742	3,894531068	0,556177328	0,537771002	0,003362057	0,963700879	2,29894379	0,914143001	4,657908171	-0,629263879	0,340531122	-7,051708047	0,985994262	2,790377981	-2,901591859	0,821803045	-5,070302438	-5,446184827	-2,318948291	-4,784345437	-4,329698043	0,944116809	3,004736851	4,322961507	-0,232906621	3,167205949	4,208142188	-0,226002008	0,362931255	0,335311973	1,153158693	2,806300486	0,595811623	4,109097259	-0,484139091	0,527765618	-3,355602623
4068154	0,54411744	1,175947891	5,340732723	-0,977597594	5,14100047	1,591282159	5,508710672	-0,417279516	1,547633365	-2,664622329	-2,87715473	-3,798656602	-0,152203959	-1,611079432	-0,973895588	-0,937710125	-0,639714698	2,389531809	-3,999095139	0,073028688	-1,571247735	-1,890919227	0,610409384	-0,867100488	-6,794693486	0,964674916	1,146650055	5,115343109	-0,571691204	5,078779393	1,738306609	5,396444562	-0,692820382	1,392377416	-2,639289559	-2,567987259	-2,076791451	-0,446813107	-1,006607291	-0,536901225	-1,058857413	0,05636149	2,001667877	-2,756784943	-1,111438758	-1,252540579	-1,021820936	-1,060735881	0,001363639	-3,126214164
4068170	0,605493416	-1,685465045	-4,107079209	-0,73667577	-4,531531521	-4,988066506	-4,726438882	-5,535762102	-6,77106877	-2,145630924	4,00745109	6,757476734	-0,218735931	2,02200959	2,68088743	0,993886889	2,886388088	2,20526922	0,774048832	3,520734249	0,573462005	5,197074904	1,589127649	2,238637979	-8,320109541	0,991341708	-1,50795362	-3,423077583	-0,51120004	-4,617587787	-5,535234948	-4,209133688	-4,591353259	-6,140154849	-2,610604026	4,42109625	6,552840573	-0,312346248	1,571935507	3,127663813	0,422051191	2,933467515	2,776030777	1,605720307	3,483027169	1,795824327	5,121969114	1,778721979	2,359515054	-4,491217528
4068193	0,604299419	5,380224906	0,680964723	-0,658404905	6,586469378	4,048740404	3,48418793	-3,132028619	-0,404837463	-1,613278215	-2,000272125	-3,817214842	-0,89862728	-0,241277114	-0,244272455	-0,694133506	-0,509151772	0,872821253	-2,421204296	-0,091769469	-0,688155671	-0,293860023	-0,922649154	-2,422271685	-4,614552879	0,939408512	5,512275845	1,002334021	-0,885428804	6,85329135	4,384098686	3,74125472	-1,481358865	-0,313486699	-0,608172085	-1,922723144	-1,915308318	-1,708341719	-0,124920034	-0,743716235	-2,406336856	0,122888876	0,818366488	-1,628728633	-1,154312	-0,023888453	-0,827105414	-2,851131945	-2,444833952	-1,394716829
4068200	0,635892262	0,944795472	0,930108417	-3,125796047	7,629933411	2,041230562	6,400102658	0,161578913	5,534467782	-1,120344618	-3,505549452	-3,428703149	-1,586754191	-0,903478748	-0,102862571	-0,249249065	-1,495217805	0,442280416	-4,027343539	-0,437203222	-0,031048881	-2,465888803	-0,171504008	-1,43355353	-1,403544995	0,958250278	0,626333991	0,710692139	-4,116207767	7,254014756	2,123770976	6,04817061	0,106093643	5,174313704	-0,20588492	-2,645442914	-2,01460917	-1,117929696	0,186433319	-0,77424342	-0,728992114	-0,600726767	-0,211833592	-3,214561255	-2,324502957	-0,219494945	-0,911221036	-1,284894682	-0,781370978	-1,077906925
4068201	0,431094466	-2,610524281	-3,735370406	0,915786958	-2,921054726	-0,869700456	-3,614620702	-5,06550508	-5,772285562	-3,809267358	1,521699797	4,799013856	0,661758734	1,684667155	2,295997521	-0,261209054	2,933894437	3,152823988	1,674742423	1,950598921	1,682911365	4,036998508	0,21279123	1,135852729	-8,054990356	0,984026862	-2,321232809	-2,559203077	0,824868304	-2,236876355	-1,205494223	-3,398217897	-5,677205836	-5,872563118	-4,015115166	2,803143886	5,898566779	0,473203003	1,66220505	2,257455061	-0,866384936	2,786115546	4,213244617	2,297772178	2,028418289	2,413292469	4,142594061	-0,446620562	1,048951548	-4,250916813
4068202	0,676959917	3,326352631	1,246460202	2,016157281	-0,90777195	-2,058015213	7,016054761	4,835844393	1,426446262	0,522521757	-1,349770121	-5,518554044	-0,110971214	-2,926292666	0,378810264	-2,545448141	-1,095121302	0,361851961	-2,178665769	-1,132936028	0,970853342	-2,125077057	0,651995691	-0,804725039	-6,882145647	0,96426009	3,748890275	2,152446222	1,842387497	-1,617075161	-1,848733306	7,063455086	4,981861812	1,614780724	0,889373531	-2,068467453	-3,20692981	-1,152201008	-2,349147735	1,067416652	-2,688437876	-1,163855056	-0,369773003	-2,309105619	-0,697933693	0,153809057	-2,325790578	0,582457503	-1,211785643	-1,087642419
4068206	0,660212646	7,517899781	1,764522211	0,424063021	4,406375709	1,636618453	6,904032774	-1,898720944	1,37695703	1,050865382	-1,817048206	-5,953263688	-1,221425124	-0,556095364	0,1897668	-0,622230106	-1,985938522	-0,748287709	-3,14447668	-0,647549492	-0,377584463	-2,046743196	-0,742733244	-3,509004424	-3,976276929	0,953546566	7,156689537	1,771330787	0,05196508	4,08362638	1,817417823	6,6263438	-1,174767608	0,985827221	0,920963444	-2,389694361	-2,877251204	-1,257907076	0,051134521	0,251221817	-2,332892907	-0,77275612	-0,467882242	-2,45810174	-1,605389655	-0,475721074	-1,997368381	-2,159924937	-2,868958326	-0,877904779
4068219	0,599571394	3,496375236	3,824444937	-1,299138272	-1,824124655	-3,710347521	4,162940545	7,784542597	1,110625686	1,9373644	-0,065171837	-4,654583709	-0,686675666	-2,075339712	-0,77307655	-1,764889357	-0,891024885	0,154011369	-3,195908637	-1,262251598	0,588153909	-1,00869718	0,458274398	-0,305503499	-10,96942593	0,966632363	3,837243913	3,565892993	-0,264834255	-2,294807274	-2,769488165	4,239211385	7,556318404	1,160346757	2,033299889	-1,259365057	-3,099937289	-1,97285008	-2,190197991	0,553049758	-1,054281355	-0,935623764	-0,14752766	-2,398426558	-0,556676724	0,131768123	-1,437358437	0,521290145	-0,456598598	-2,760448159
4068228	0,620954262	-1,008970934	3,106560094	1,220586503	-2,620302654	-4,942495936	-0,667833389	5,116560754	-1,440871194	-2,317278448	0,986281701	-0,430447707	-0,017541804	-2,43787869	1,011514156	-2,416951804	0,027966585	2,681922614	-2,688755098	2,621755737	0,582922739	0,76670802	1,267918477	1,598630279	-10,70640175	0,946248892	-0,388643103	3,33814701	1,940638734	-3,287528531	-3,67522635	-0,6386174	5,65967802	-1,770638349	-2,054967526	0,507019551	-0,036102555	-1,517850391	-2,81817991	1,500563158	-2,513066492	0,16356182	1,942280681	-0,718076862	4,052705999	0,288229451	1,26158456	1,245096843	1,129500551	-3,61010891
4068241	0,383252515	-0,894304971	1,740436043	0,754788345	-2,238444427	-3,733072988	1,128095132	4,156279345	-0,890516259	-2,405636813	0,226505731	-0,971314394	-0,062841333	-1,978484932	1,626890071	-1,808884041	0,180494328	3,146239006	-2,171894454	0,784263184	0,246605751	0,423528317	1,209819479	1,53144988	-9,097556659	0,964133226	-0,544426795	2,102747614	0,887519688	-3,259681325	-3,755085661	1,438044332	4,401869177	-1,183923592	-1,782219807	0,004538949	0,173124839	-0,770335463	-2,038922505	2,117831066	-0,615878792	-1,13704E-05	3,483743776	-1,171438432	1,07866656	0,317795058	0,577096877	1,284544428	1,557434049	-4,303032671
4068253	0,855810151	7,287268044	3,049618108	-0,014068045	2,106005728	1,077109697	10,42556283	0,491607759	6,791504037	3,141043973	-3,543243403	-8,827227804	-1,357140058	-1,436662106	0,190173477	-0,67724391	-2,794223752	-1,185104571	-4,26695415	-1,065655698	0,211046045	-4,56045484	-1,173640931	-3,86932043	-2,119240314	0,964499713	7,090561374	3,017914091	-0,073996272	0,661763099	1,254095162	10,32994033	0,962161521	6,729885662	2,894869633	-4,10402754	-5,316654796	-0,709995658	-0,204793213	0,655189424	-1,861962926	-1,868209727	-2,202752329	-4,115605074	-3,326626328	-1,015113259	-4,767951536	-1,444690854	-3,168015679	0,584014899
