N.POP;DL.R;DIA.ST;N.REB;N.ZUB;DL.OSN.Z;DL.TR.V;DL.BAZ;DL.PER
8;365;3;11;11;1;4;2;9
8;410;3.5;13;13;2;7;2;5
8;410;3.5;12;12;1;5;2.2;7
8;348;3;11;11;0.5;4;2;7
8;445;3.1;10;10;2;5;2.5;9
8;430;3.5;13;13;1.5;6;2;7
8;486;3.5;11;11;0.7;6.5;1.5;9
8;452;3.4;12;12;1.5;6;1.2;6
8;356;3.6;11;11;2;5;1.5;8
8;429;3.8;10;10;2;6;2;8
8;317;3.1;12;12;2;5;2;6
8;363;3;10;10;2.2;5;2.5;6
8;426;3.2;12;13;1;5;2;9.5
8;343;3;11;11;1.5;4;2;9
9;390;2;14;14;4;3;1.5;6
9;496;3;16;16;6;4;1;8
9;458;2.5;12;14;5;4;1;6
9;439;3;15;15;5;4;1.5;7
9;505;4;14;14;6;5;1;5
9;434;3;16;16;5;4;1.5;5
9;445;3.5;16;16;5;5;1;4
9;414;3;16;16;5;6;1;7
9;342;2;16;16;3;3;1;5
9;277;2;12;12;3;2;1.5;7
9;412;2.4;14;14;3;4;1;6
9;381;3;14;14;5;4.5;1.5;6
9;436;2.8;14;14;4;4;1;4
9;314;2;12;12;4;3;1.5;6
9;290;2.5;15;15;3;4;1;5
10;462;2.5;9;9;1.5;3;2;9
10;385;3.5;11;11;2.5;5;2;10
10;356;2;11;11;1.5;4;1.7;6
10;365;2.5;12;12;2;4;1;6.5
10;357;3;10;10;3;5;1;12
10;424;3;11;11;4;4;2.5;12
10;426;2.5;11;11;2;5;1.5;10
10;321;3;11;11;2.5;5;2;12
10;450;3;10;10;3;5;1.7;7
10;406;2.5;11;11;2;4;2;12
10;374;2.8;10;10;3;5;1;7
10;400;3.5;14;14;3;5;2;12
10;360;3;12;12;1;3;1.5;13
10;430;2.4;9;9;1;4;1;15
10;434;3;12;12;3.5;4;1;12
11;321;1.5;10;10;1.5;3;0.5;7
11;362;2;12;12;2;3.5;2;11
11;213;1;14;14;1;2;2;11
11;330;1.5;12;12;1.5;3;1.7;10
11;319;2;14;14;1;4;3;9
11;418;2;14;14;1.5;4;3;10
11;378;1.5;12;12;1;2;3;11
11;440;2;15;15;1;4;3;8
11;406;1.5;14;14;1.5;4;2;10
11;305;1.2;10;10;1.1;3;2;10
11;428;1.5;14;14;1.5;4;3;8
11;397;1.5;12;12;1.5;5;2;7
11;430;2;18;18;2;4;1;8
11;421;2;14;14;1;3.5;3;9
11;446;1.5;12;12;1.2;3;2;7
11;389;2;12;12;1;4;3;10
11;399;2;12;12;1.5;3.5;4;12
11;275;1.2;12;12;1.5;3;2;7
12;410;2;6;6;1;5;3;15
12;557;2.2;6;6;0.7;5;4;12
12;534;2;8;8;1;5;4;11
12;500;2.1;8;8;2;6;3;10
12;354;2;6;6;1;4;2;10
12;476;2;8;8;0.5;5;3;12
12;428;2.2;8;8;1;6;2;12
12;547;2.1;6;6;1;5;3;14
12;490;2;7;7;0;5;4;13
12;506;2;7;7;5;5;3;13
12;445;1.7;6;6;0.5;5;2.5;12
12;348;2;8;8;0.7;4;4;10
12;461;2;7;7;1;5;2;13
12;566;2.5;8;8;1;6;3;11
12;511;2.3;7;7;1;5.5;3;13
12;252;1;6;6;1;4;3;7
12;402;1.5;6;6;0.7;5;3;7
12;367;1.5;6;6;0.7;4;4;13
12;381;1.3;6;6;1;5;3;11
12;390;1.2;6;6;0.7;4;2;10
13;882;4;20;20;1.5;5;4;14
13;950;4.3;18;18;1;5;4;12
13;813;4;16;16;1.5;5;5;15
13;848;4.5;20;20;2;4.5;5;13
13;792;4;16;16;1.5;4;4;10.5
13;931;4;16;16;2;5;6;16
13;805;4;18;18;1;5;4;14
13;669;4;18;18;1.5;6;5;14
13;773;4;17;17;1.5;5.5;5;10
13;886;4.3;17;17;2;5;4.5;11
13;937;4.3;18;18;1.5;5;4;10
13;892;4;18;18;1.5;4;5;12
13;903;4;16;16;1;4.5;5;10
13;935;4.2;17;17;1.5;5;4;10
13;380;3.7;16;16;1.5;5;2;5
14;288;2;14;14;1.5;4;3;7
14;190;1;12;12;1;3.2;2;4
14;269;1.6;11;11;1.2;3;3;7
14;367;1.5;15;15;2;4;2;5
14;270;1.3;13;13;1.5;3;3;7
14;233;1.5;10;10;1.5;3;2.5;6
14;305;1.5;16;16;1.5;2.5;2;5
14;257;1.4;18;18;1.2;4;2;4
14;295;1.4;12;12;2;5;2;6
14;354;1.5;14;14;1.5;4.5;2;6
14;283;1.7;14;14;2;4.5;2;5
14;305;1.2;14;14;1.3;3.5;2;5
14;326;1.2;12;12;2;4;2;4
14;284;1.2;12;12;1.5;3;2;6
14;230;1;8;8;1;3;3;7
15;1176;6;20;20;2;6;4;12
15;1124;6;18;18;2.2;6.5;3;8
15;886;6.5;18;18;1.8;6;3;7
15;1002;5;16;16;2.5;5.5;5;15
15;970;5;19;19;2;7;5;16
15;1168;6;17;17;3;8;6;18
15;1145;6;18;18;2.5;7;6;17
15;1109;7;22;22;3;8;4;16
15;972;5;19;19;2;6;5;14
15;906;6;19;19;3;7;5;7
15;886;5;16;16;2.2;7;6;18
15;1142;6;18;18;2;6;5;16
15;1034;5.5;20;20;2;6;6;16
15;864;5.5;17;17;2.5;7;5;13
15;965;5;17;17;2;6;5;16
16;614;3;13;13;2;6;2.5;10
16;540;2.9;11;11;1.5;6.5;2;9
16;655;3;13;13;2;6.5;3;8
16;544;2.5;11;11;1.2;4;1.5;6
16;526;2;8;8;2;4.5;2;11
16;440;2;8;8;2;4;1.5;9
16;525;3;12;12;1;5;2;8.5
16;528;2.2;10;10;1.5;5;1.5;6
16;627;3;10;10;1;5;1.5;13
16;526;2;13;13;2;4;1.5;6.5
16;580;3;11;11;2;6;1;8
16;569;2;12;12;1;4.5;1.5;7
16;470;1.5;9;9;2;4.5;4;13
16;529;2.5;11;11;2;5;2;9
16;576;2;13;13;1.5;4.5;1;7
17;491;1.5;6;6;4;5;1.5;6
17;493;2.5;13;15;5;4;1.5;7
17;468;2.7;17;17;4;5;1.2;7
17;405;1.5;13;13;3;3;1;5
17;402;2.8;16;15;4.5;5;1.5;6
17;537;2;13;13;4;4;1.5;8
17;531;2.2;16;16;5;4;2;7
17;410;3;14;14;9;7;2;9
17;496;2;16;16;4;3;2.5;6
17;513;3;15;15;6;5;1.1;6
17;499;2;13;13;4;3.5;1;5
17;539;2;13;13;4.5;4;1.5;6.5
17;428;2;13;13;4;4;1.2;7
17;449;2.2;15;15;6;4;14;7
17;494;1.5;9;9;4;4;1.5;7
18;403;5;22;21;NA;NA;0;0
18;556;6;23;23;NA;NA;0;0
18;830;6.2;24;24;NA;NA;0;0
18;905;6;23;23;5.5;NA;0;0
18;515;6;21;21;NA;NA;0;0
18;845;5.5;22;22;NA;NA;0;0
18;360;5;21;21;5;NA;0;0
18;547;6;24;24;NA;NA;0;0
18;352;6;22;22;5.5;NA;0;0
18;412;6;26;26;4.5;NA;0;0
18;675;5;22;22;NA;NA;0;0
18;465;5;26;26;NA;NA;0;0
18;471;5;23;23;NA;NA;0;0
18;655;6;24;24;NA;NA;0;0
18;473;6;21;21;5;NA;0;0
18;277;5;21;21;NA;NA;0;0
19;267;2;9;9;3;4;2.3;12
19;235;2;12;12;3;3;1.5;11
20;218;2;14;14;2;1;5;2
20;225;3;10;10;3;2;8;2
20;304;3.5;15;15;4;2;7;2
21;461;3;13;13;1.5;5;1;11
21;488;2;16;16;2.5;4;1;11
21;394;2;12;12;2;3.5;1;7.5
21;410;2;13;13;3;4;1.5;12
21;410;2;12;12;2;3.5;2;12
21;305;2.2;14;14;2;4;1;10
21;385;1.8;9;9;1.8;3;1.5;10
21;481;2.5;10;10;1.5;5;1;7
21;300;2.5;11;11;1.8;4;1.5;10
21;541;2.4;13;13;2;4;1;14
21;389;2;11;11;2.2;4.5;1.5;12
21;315;2.2;12;12;2;4;1;13
21;485;2.2;15;15;3;4;1.5;13
21;414;1.5;11;11;1.5;2.5;1.5;12
21;417;2.1;15;15;2.5;3;1.5;13
22;254;2;11;11;1;4;3;11
22;219;1;12;12;1;2;4;9
22;172;1;11;11;0.5;1.5;4;10
22;165;1;13;13;1.2;2.5;4;11
22;164;1.5;12;12;1;3;3;9
22;210;1;10;10;1;2;3.5;7
22;300;1.7;11;11;1.5;4;4;12
22;276;2;15;15;2;4;3.5;7
22;195;2;12;12;1;3;4.5;11
22;179;1.4;12;12;1;3;2.5;5
22;121;1;9;9;1;2;3;6
22;230;1.4;10;10;1;3;3;7
22;258;1.5;13;13;1;4.5;4;8
22;193;1;12;12;0.5;3;4;8
22;289;1.5;13;13;0.5;3;3;14
23;304;2;10;10;3;4;1.5;6
23;335;1.8;9;9;2;4;1;11
23;275;1.5;9;9;1.5;3.5;1;9
23;216;1;8;8;1;3;0.9;7
23;356;3;11;11;4;4;1;8
23;288;2;13;13;3;4;2;8
23;268;2.1;10;10;2;5;1.5;8
23;250;1.5;9;9;2;4.5;1;10
23;248;1.5;9;9;2;4;2;9
23;277;3;11;11;4;3.5;2;8
23;214;1.1;8;8;1.5;3.5;1.5;6
23;300;2;10;10;3;4;1;8
24;636;4;14;14;1.5;5.5;1.5;9
24;636;4;13;13;1.5;6;2;10
24;712;4;14;14;2.5;7;1;7
24;701;3;14;14;2.5;6;1.2;6
24;667;4;10;10;4;4;2;10
24;675;3;12;12;2;6;1.5;6
24;690;3;13;13;2;6.5;1;5
24;654;3;14;14;2;5;1;5
24;603;4.5;15;15;1.5;6;2;5
24;731;3.5;15;15;2.2;8;1.5;6
24;625;3;14;14;1.2;5;3;7
24;572;3;9;9;2;6;1;6
24;671;3.5;11;11;2;5.5;1.5;5
24;565;3;15;15;1.2;6;1;15
24;589;3;13;13;2;5;1.5;6
25;560;3.5;12;12;1;4;1.2;10
25;560;3.1;11;11;2;7;1.2;12
25;510;3;10;10;1.5;5;1;12
25;560;4;12;12;1.5;6;1;12
25;565;2;10;10;1;4;1;10
25;610;2.2;10;10;1;4;1;13
25;510;2.8;10;10;1;4;1;11
25;520;2.8;10;10;2;5;2;13
25;540;2.8;12;12;1;4;2;11
25;580;2;11;11;1.5;4;2;11
25;540;2.5;9;9;2;5;2;14
25;580;2;9;9;2;4;1.5;9
26;510;2;16;11;4;4;2;10
26;750;4.2;15;15;5;5;2;7
26;550;4;16;15;5;4;1;8
26;600;3;16;17;4;5;2;6
26;590;2.5;16;15;4;5;2;9
26;560;3;17;16;5;4;2;7
26;500;4;15;12;4;4;1;6
26;650;2.5;13;13;2.5;4;2;11
26;610;4;15;15;5;5;1;8
26;630;4;16;15;6;5;1.2;8
26;620;2.8;17;17;5;4;2;8
26;490;4;15;13;11;6;1;12
26;570;4;18;11;7;5;1;9
26;450;2;15;15;5;3;1.5;9
26;480;2.5;15;15;5;6;2;11
27;340;2.2;11;11;1.8;3;1;11
27;340;2.5;11;10;1.5;4;2;9
27;190;1.8;9;9;1;3;1;7
27;310;1.5;10;9;0.8;3.5;2;10
27;400;2.2;13;12;1;4;2;11
27;260;1.5;9;8;1.2;2;1.8;12
27;270;1.5;9;10;1.2;3.5;1.5;11
27;230;1.5;9;9;1;3;1.5;10.5
27;250;1.5;7;7;1;4;1;9
27;200;1.2;9;9;0.5;2;1;7
27;270;1.2;8;8;1;3;1;9
27;230;1;6;6;0.8;2.2;1;8
27;280;1.5;8;9;1;3.8;2;10
27;270;1;7;7;2;3;2;8
27;260;2.2;12;11;1.8;2;1.2;8.5
27;210;1.2;7;8;1;3;1;7
27;340;2;12;12;1;3;1.5;12
28;530;3;10;10;2;7;1;4
28;470;2;8;8;2;6;1;4.5
28;430;2;8;8;2;8;0.8;4
28;545;4;9;9;2;6;0.5;4
28;450;2;9;9;1.8;6;0.8;3
28;430;2;9;9;1.5;4;0.5;3
28;465;2.5;9;9;3;6;0.5;2.8
28;360;2;8;8;2.8;5;0.5;3
28;550;2;8;8;2;6;0.3;2
28;390;2;7;8;1.5;5;0.3;2.5
28;380;2;8;7;1.8;4.5;0.5;3
28;400;1.8;7;7;0.5;5;0.8;2.2
28;480;2.2;10;8;3;5;0.5;3
28;400;2.2;11;11;1.2;4;0.5;7
28;570;2;9;9;1.2;3.8;0.8;2.5
28;480;2.5;11;11;1.4;4.8;0.8;6
28;340;1.5;7;7;1;2;0.8;7
29;720;4.2;18;16;1.3;6;1;5
29;850;5;17;16;2;8;1;5.5
29;910;4.5;15;18;2;5;1;5
29;740;4;17;16;0.8;4;1;5
29;750;4.2;16;18;3;8;1.5;6
29;1050;4.8;17;14;1.5;6;1;4
29;1150;5;16;19;0.5;5.5;1;4.5
29;1100;4;18;19;1.5;4.5;1.2;5
29;660;5;16;16;2.2;6;0.8;5
29;660;4;17;15;2;6;1.5;5.5
29;1160;6;17;15;1;6.5;2;6
29;750;4.8;16;17;1;6;1;6
29;820;6;16;16;1;5.5;1;7
29;1020;5.5;19;19;1;5;1.2;5.5
29;1120;4;14;16;0.8;5;1.2;6
29;700;4;18;19;1.5;6.5;1.2;6
30;702;3;14;14;6;6;0.5;6.5
30;595;2.5;12;12;5.5;4.5;0.8;4.5
30;650;3.5;14;15;6;5;1.2;2
30;618;4;17;17;5.5;7;1;9
30;640;3;16;16;6;3;1;10
30;610;2.8;16;16;5;4;1.2;10
30;510;3;16;16;4;4;1.5;8
30;600;2;18;18;5;4.5;1;10
30;570;1.8;14;14;4;4;1;11
30;580;3;16;16;5;4;1;8
30;540;2;12;14;5;5.2;1.2;8
30;550;2;13;13;6;6;1.5;7
30;460;3;12;12;4;7;1.2;6
30;620;3;13;13;8;9;1.5;5
30;480;1.8;10;10;3;5;0.8;6
30;570;3;16;16;6;5;1;7
30;700;3;14;14;7.5;6;1;6
31;540;2.5;13;13;4.5;3;1;7
31;530;2;13;13;4;4.5;1.2;3
31;560;2;14;14;6;6;1.5;7
31;470;2;14;14;3.5;4;1;5.5
31;380;2;13;13;2.5;3;2.5;8
31;310;2;12;12;6;5.5;1.5;9
31;530;2;12;12;4.5;5;1.8;7.5
31;430;2;10;10;3;3.2;2;7
31;470;2;14;14;4.5;4;1.8;7
31;520;2;12;12;4;3.5;1;7.5
31;315;1.8;11;11;5;4;1.5;6.5
31;550;2;13;13;5;4;1.8;7.2
31;450;1.8;13;13;3;3.5;2;8
31;400;2;12;12;3.5;4;0.8;5
31;470;1.8;12;12;4;3;1.5;6.5
32;300;2;7;7;2;4;1.8;6
32;280;2.5;10;10;2;5;2;9
32;260;2.5;11;11;0.8;5;2.5;10
32;350;3;11;11;0.5;8;2;9
32;250;2;10;10;2;5;2.2;8.5
32;250;2;8;8;0.5;6.5;2;12
32;310;2;13;13;1.5;5;1.8;14
32;310;2;11;11;0.2;6;2.2;12
32;210;2.5;10;10;0.5;7;2;13
32;320;2;8;8;1.5;3;2;11
32;290;1.8;9;9;2.5;2.8;2;8.5
32;320;2;9;9;2;2;2;11
32;320;2;10;10;0.2;3;2;7
32;300;2.5;11;11;1.5;5;2.5;11
32;230;2.5;10;10;0.5;4.8;2.2;12
32;320;2;8;8;1.2;4.5;1.8;11
32;240;2;9;9;0.2;4;2;8
33;940;5;18;18;1;5;1.5;5
33;1300;4;16;16;2;6;1;3
33;900;4;19;19;2;5;1;3
33;610;5;18;18;2.5;4.5;1.2;4.8
33;600;6;16;16;2;6;0.8;4
33;680;5;18;18;2.5;4;1.2;5
33;660;5;17;17;1.5;7;0.8;4.2
33;1160;4;17;17;1.2;5;1;4
33;1070;5.2;17;17;2;7;1;4
33;1120;5;19;15;2.5;8;1.8;3
33;1130;5;18;18;1.5;5;1;4
33;890;5.2;18;18;1.2;5;1;4.2
33;1050;6;17;17;2;4;1.2;3.8
33;1250;5;18;18;2;6.5;1;4.5
33;710;4;16;16;2.2;7;1.5;5.5
33;900;4;19;19;2;6;1.2;2
34;280;2;15;15;5;4;1.2;6
34;610;2;14;14;6;4;1;8
34;310;2;13;13;4;4;1.8;9
34;300;1.8;14;14;3;3;1.5;11
34;370;2;14;14;4;3;1.2;8
34;550;2.5;15;15;4;3.2;1.5;10
34;250;2.2;8;8;2.5;3;1.2;11.5
34;370;2;10;10;2;4;1.5;8.8
34;470;1.8;11;11;3.5;4;1.2;12
34;440;2.5;10;10;3;3.8;1.8;7.5
34;480;2.5;11;11;3.5;3;1;6
34;350;3;11;11;4;3;1.2;8.5
34;570;4;13;13;4;4.2;1.2;5
34;420;3.8;12;12;4.5;4;1.5;13
34;510;1.8;10;10;3;3;1.2;7
35;570;5;24;24;1;6;0;0
35;650;5;26;26;2;5;0;0
35;440;5;25;25;0.5;6;0;0
35;650;5;26;26;1;6.5;0;0
35;440;4.8;24;24;1.2;6.5;0;0
35;650;5;23;23;1.8;5;0;0
35;240;5;24;24;0.2;2;0;0
35;520;5;23;23;1;5;0;0
35;310;5.2;26;26;1;7;0;0
35;450;5;24;24;0.2;1.5;0;0
35;730;6;26;26;1.8;8;0;0
35;370;5.2;27;27;0.2;1.5;0;0
35;470;6;28;28;1;7;0;0
35;430;6;26;26;1;3;0;0
35;440;5;23;23;1.5;6.5;0;0
36;300;1;12;12;1;2;0.2;4
36;280;1;11;11;1.5;2.5;0.3;3
36;310;1.2;9;9;1.2;2.2;0.8;4.2
36;300;1.2;12;12;2;3.5;1;3
36;250;1.2;11;11;1;2.8;0.8;2.8
36;320;2;12;12;1.5;3.2;0.5;2.3
36;300;2;10;10;1.2;3.5;0.8;4
36;340;2;15;15;2;2.8;0.5;2.8
36;250;2;12;12;1;2;0.3;3
36;300;1.8;13;12;0.8;3;0.8;4.2
36;260;1.5;12;12;1;2.8;0.5;3.5
36;310;1.8;10;10;1.8;3.2;0.2;3
36;300;1.8;13;13;1.2;3;0.5;3
36;280;2;12;12;0.8;2.8;0.8;4.8
36;320;1.8;11;11;1.2;4.8;0.5;5.2
37;950;6;16;16;2;5;1;4
37;800;5;14;14;1.5;5;1;5.2
37;760;5;12;12;1.2;5;1;5
37;1000;4;14;11;2;4.8;1.2;4
37;730;4.2;13;13;2;4;0.2;3.5
37;960;4.6;14;14;1.8;6;1;4
37;300;3.5;11;11;1.5;5.2;0.8;5
37;770;5;17;17;2.2;6;1;2
37;900;5;12;12;2;5;0.8;3
37;700;4;15;15;1.5;5.2;0.2;4
37;650;5;14;14;1;6;1.2;3.5
37;820;5;16;16;2.5;6;1;3.8
37;860;5;16;16;2;5.8;1;4.5
37;880;4.8;17;17;1.8;6;1.2;4
37;1000;5;18;18;2;4.5;1.5;4
38;200;1.5;9;9;0.8;3;1.5;9.5
38;190;1.5;8;8;0.5;2.5;1;9.5
38;220;1.2;8;8;0.2;2;0.8;11
38;220;1.5;8;8;1.3;3;1.5;7
38;200;1.8;8;8;1.2;2.5;1.5;6.8
38;220;2;9;9;1;3;1.2;7
38;260;1.8;11;11;0.2;2;2;12
38;230;1.8;9;9;1.3;2;2;7
38;220;2;10;10;2;3;1.8;6.2
38;215;2.2;9;9;0.8;4;2.2;12
38;230;2;8;8;1;3.5;1.3;10
38;170;1.5;9;9;0.2;4;1.2;9
38;130;1.2;8;8;1;2;2;9
38;170;1.2;7;7;0.3;3;2.2;7
38;220;1.2;10;10;0.2;2;1;8
38;130;1.2;8;8;0.8;3.5;0.8;5
39;231;1.5;8;8;1.2;2;2;9
39;273;1.2;7;7;2;3;1;7
40;460;2;19;19;1;2;1;6.5
40;490;2.2;16;16;1.2;3.5;1.5;7
40;450;2;16;16;1.2;3;1.2;4
40;490;2;16;16;0.5;3;1.5;3
40;500;2.2;18;18;1.5;4;1.2;3.8
40;430;1.5;13;15;0.5;2.2;1;10
40;370;2.2;15;15;2;4;0.2;4.5
40;450;2;15;15;1.2;2.5;1;6
40;530;1.8;14;14;0.3;3;0.8;5
40;440;1.5;8;8;1.2;2;0.2;5.2
40;510;1.5;14;14;1.3;2.5;1;6
40;530;2;15;15;1.2;3;1.2;4.5
40;430;1.5;13;13;1.5;2;1.5;6
40;400;2;12;12;1;2;1;3.5
40;570;2;13;13;1.2;2;1.2;7
41;520;2;12;12;2;5;1.2;7
41;500;2.5;14;14;1.5;6.2;2;12
41;520;2;10;10;1;5;1.5;14
41;440;1.8;12;12;1;3.5;1.2;11.5
41;420;1.8;10;10;1.5;4.5;1.5;11
41;500;2.2;11;11;2;6;1.8;12
41;430;2.5;11;11;1.5;6.5;1.5;13
41;360;2.2;12;12;2.5;7.2;2;14
41;380;2.8;11;11;0.2;6;2;7
41;510;2.2;11;11;1;5;1.8;13
41;500;2;13;13;2.5;7.5;1;12
41;470;2;12;12;1.5;6;1.2;13
41;420;1.8;13;13;1;4;1.5;10
41;530;2.2;14;14;1.8;5.2;1.8;11
41;410;2.8;12;12;1;5;1;10
42;560;2.2;7;7;2;7;1.2;4.5
42;450;2;7;7;3;6;1;5
42;600;2;7;7;2;4;1;2.5
42;570;2.2;7;7;2.5;4.5;1.8;4
42;420;2.5;6;6;2;5;1.5;3.5
42;470;2.2;8;8;1.2;4.8;1;3
42;500;2;6;6;1.5;4.2;1.2;4
42;500;2.2;7;7;2.5;6;1.5;5
42;470;2;7;7;2;5;1;5.2
42;440;2;7;7;1.8;4.8;1;4
42;480;2.2;7;7;1.5;4.5;1.5;4
42;500;1.8;7;7;2;5.2;1.5;4
42;390;2;8;8;2;5;1.5;4.5
42;470;2.2;6;7;2.2;6;1.2;4.8
42;480;2.5;6;6;2;5.5;1;4.8
51;530;NA;13;12;3;3;1.5;12
51;420;NA;12;10;2;5;2;12
51;590;NA;12;12;1;4;2.5;13
51;450.5;NA;12;12;3;6;3;18
51;490;NA;11;11;3;8;1.5;10
51;650;2;13;13;4;4;2;12
51;535;1;11;13;1.5;3;2;15
51;650;2.5;12;13;1.5;3;2;12
51;570;2.5;12;12;1;5;2;10
51;415;3;11;12;3;6;2;13
51;535;1.5;8;10;5;5;2;16
51;480;1.5;11;11;1;3;2;16
52;290;2;12;11;2;3;2;11
52;365;1.5;11;11;2;2;2;13
52;310;1.5;11;11;1;2.5;2;11
52;355;0.8;10;9;1.5;3;2;12
52;215;0.7;11;8;1.5;3;2;13
52;310;0.6;11;11;1.5;2.5;2;13
52;195;1.5;9;8;1;2;2;7
52;175;1.2;9;9;1;2;2;7
52;277;1.6;10;10;1;2;2;9
52;216;1.4;8;8;1;2;2;13
52;133;1.5;9;8;1.5;2;2;12
52;249;1.7;10;10;1;2;2;12
52;304;1.3;10;9;1.5;3;2;9
52;244;1.5;8;8;0.5;3;2;13
52;233;1.4;8;8;0.5;2;2;12
52;280;1.5;10;10;1.5;3;2;11
52;365;1.7;12;9;2;3;2;12
52;270;1.8;8;8;1.7;2;2;12
52;190;1.2;8;8;1;2.5;2;9
52;150;1.2;8;8;1;2;2;14
53;442;1.5;9;10;1.5;3;2;14
53;368;1.7;11;7;2;4;2;12
53;449;1.9;13;18;0.8;3;2;12
53;400;1.7;11;11;0.8;3;2;11
53;350;0.5;9;10;2;2;2;13
53;438;1.8;11;11;0.2;4;1.5;13
53;397;1.6;11;11;0.2;2.5;2.5;11
53;408;1.7;11;11;1;3;1.5;12
53;370;1.5;9;9;0.2;3.5;2;12
53;325;1;9;9;0;2;1.5;9
53;490;1.5;11;9;0.7;4;1.5;12
53;377;1.2;13;10;1;4;2;10
54;860;3.2;15;16;0.8;5;1.5;3
54;858;4.2;15;15;2;6;0;0
54;687;3.3;14;14;0.8;5;0;0
54;643;3.3;15;15;1.5;5;0;0
54;541;3.1;14;14;0.9;4;0;0
54;583;2.9;12;12;2;4.9;0;0
54;586;3.6;14;14;0.7;5;0;0
54;593;2.5;10;11;0.7;4;0;0
54;634;3.1;14;14;1.5;4.5;0;0
54;659;3.2;14;14;1.8;5;0;0
54;787;3.4;13;13;1.5;4.5;0;0
54;545;3;14;14;1.8;4.5;0;0
54;607;3;12;12;1.5;4;0;0
54;745;3.9;13;13;1.7;4.5;0;0
54;624;3.1;13;13;1.5;5;0;0
54;707;3;12;12;1.9;5;0;0
54;747;3.5;13;13;1.7;5;0;0
54;642;2.9;13;13;1.8;4;0;0
54;778;3.7;15;11;1.7;5;0;0
54;673;2.7;12;12;1.8;4.5;0;0
55;365;2.5;7;7;2.5;7;2;4
55;302;1.7;8;8;1;7;2;4
55;369;2.4;8;8;0.8;6;2;5
55;355;2.3;7;7;1.5;6;2;4
55;312;2.3;7;7;1;8;1.5;3
55;274;2.4;7;7;1.2;8;2;3.5
